날짜,전지구 평균
﻿1981년 01월,16.29
﻿1981년 02월,16.46
﻿1981년 03월,16.52
﻿1981년 04월,16.6
﻿1981년 05월,16.7
﻿1981년 06월,16.62
﻿1981년 07월,16.5
﻿1981년 08월,16.45
﻿1981년 09월,16.39
﻿1981년 10월,16.18
﻿1981년 11월,16.12
﻿1981년 12월,16.19
﻿1982년 01월,16.28
﻿1982년 02월,16.43
﻿1982년 03월,16.49
﻿1982년 04월,16.38
﻿1982년 05월,16.55
﻿1982년 06월,16.57
﻿1982년 07월,16.45
﻿1982년 08월,16.42
﻿1982년 09월,16.34
﻿1982년 10월,16.15
﻿1982년 11월,16.13
﻿1982년 12월,16.28
﻿1983년 01월,16.47
﻿1983년 02월,16.64
﻿1983년 03월,16.77
﻿1983년 04월,16.65
﻿1983년 05월,16.74
﻿1983년 06월,16.7
﻿1983년 07월,16.54
﻿1983년 08월,16.52
﻿1983년 09월,16.39
﻿1983년 10월,16.13
﻿1983년 11월,16.02
﻿1983년 12월,16.22
﻿1984년 01월,16.36
﻿1984년 02월,16.42
﻿1984년 03월,16.44
﻿1984년 04월,16.45
﻿1984년 05월,16.51
﻿1984년 06월,16.43
﻿1984년 07월,16.25
﻿1984년 08월,16.41
﻿1984년 09월,16.34
﻿1984년 10월,16.08
﻿1984년 11월,15.99
﻿1984년 12월,16.25
﻿1985년 01월,16.28
﻿1985년 02월,16.45
﻿1985년 03월,16.37
﻿1985년 04월,16.42
﻿1985년 05월,16.47
﻿1985년 06월,16.42
﻿1985년 07월,16.43
﻿1985년 08월,16.4
﻿1985년 09월,16.27
﻿1985년 10월,15.97
﻿1985년 11월,15.99
﻿1985년 12월,16.09
﻿1986년 01월,16.15
﻿1986년 02월,16.33
﻿1986년 03월,16.42
﻿1986년 04월,16.54
﻿1986년 05월,16.58
﻿1986년 06월,16.52
﻿1986년 07월,16.41
﻿1986년 08월,16.42
﻿1986년 09월,16.32
﻿1986년 10월,16.04
﻿1986년 11월,16.16
﻿1986년 12월,16.23
﻿1987년 01월,16.34
﻿1987년 02월,16.38
﻿1987년 03월,16.54
﻿1987년 04월,16.6
﻿1987년 05월,16.65
﻿1987년 06월,16.69
﻿1987년 07월,16.65
﻿1987년 08월,16.69
﻿1987년 09월,16.48
﻿1987년 10월,16.26
﻿1987년 11월,16.27
﻿1987년 12월,16.34
﻿1988년 01월,16.47
﻿1988년 02월,16.6
﻿1988년 03월,16.62
﻿1988년 04월,16.62
﻿1988년 05월,16.73
﻿1988년 06월,16.63
﻿1988년 07월,16.54
﻿1988년 08월,16.59
﻿1988년 09월,16.44
﻿1988년 10월,16.06
﻿1988년 11월,15.89
﻿1988년 12월,16.05
﻿1989년 01월,16.15
﻿1989년 02월,16.47
﻿1989년 03월,16.46
﻿1989년 04월,16.56
﻿1989년 05월,16.54
﻿1989년 06월,16.54
﻿1989년 07월,16.56
﻿1989년 08월,16.49
﻿1989년 09월,16.39
﻿1989년 10월,16.12
﻿1989년 11월,16.06
﻿1989년 12월,16.21
﻿1990년 01월,16.43
﻿1990년 02월,16.56
﻿1990년 03월,16.66
﻿1990년 04월,16.73
﻿1990년 05월,16.84
﻿1990년 06월,16.69
﻿1990년 07월,16.72
﻿1990년 08월,16.71
﻿1990년 09월,16.58
﻿1990년 10월,16.41
﻿1990년 11월,16.26
﻿1990년 12월,16.35
﻿1991년 01월,16.56
﻿1991년 02월,16.62
﻿1991년 03월,16.7
﻿1991년 04월,16.63
﻿1991년 05월,16.74
﻿1991년 06월,16.83
﻿1991년 07월,16.68
﻿1991년 08월,16.65
﻿1991년 09월,16.44
﻿1991년 10월,16.2
﻿1991년 11월,16.17
﻿1991년 12월,16.28
﻿1992년 01월,16.33
﻿1992년 02월,16.54
﻿1992년 03월,16.58
﻿1992년 04월,16.54
﻿1992년 05월,16.56
﻿1992년 06월,16.64
﻿1992년 07월,16.48
﻿1992년 08월,16.41
﻿1992년 09월,16.32
﻿1992년 10월,16.03
﻿1992년 11월,16.03
﻿1992년 12월,16.1
﻿1993년 01월,16.3
﻿1993년 02월,16.5
﻿1993년 03월,16.45
﻿1993년 04월,16.57
﻿1993년 05월,16.63
﻿1993년 06월,16.6
﻿1993년 07월,16.45
﻿1993년 08월,16.51
﻿1993년 09월,16.3
﻿1993년 10월,16.13
﻿1993년 11월,16.17
﻿1993년 12월,16.22
﻿1994년 01월,16.31
﻿1994년 02월,16.46
﻿1994년 03월,16.41
﻿1994년 04월,16.47
﻿1994년 05월,16.47
﻿1994년 06월,16.5
﻿1994년 07월,16.47
﻿1994년 08월,16.45
﻿1994년 09월,16.42
﻿1994년 10월,16.16
﻿1994년 11월,16.14
﻿1994년 12월,16.3
﻿1995년 01월,16.45
﻿1995년 02월,16.62
﻿1995년 03월,16.57
﻿1995년 04월,16.7
﻿1995년 05월,16.66
﻿1995년 06월,16.7
﻿1995년 07월,16.59
﻿1995년 08월,16.55
﻿1995년 09월,16.46
﻿1995년 10월,16.28
﻿1995년 11월,16.21
﻿1995년 12월,16.23
﻿1996년 01월,16.4
﻿1996년 02월,16.52
﻿1996년 03월,16.62
﻿1996년 04월,16.56
﻿1996년 05월,16.52
﻿1996년 06월,16.62
﻿1996년 07월,16.53
﻿1996년 08월,16.63
﻿1996년 09월,16.4
﻿1996년 10월,16.2
﻿1996년 11월,16.29
﻿1996년 12월,16.25
﻿1997년 01월,16.3
﻿1997년 02월,16.5
﻿1997년 03월,16.66
﻿1997년 04월,16.55
﻿1997년 05월,16.68
﻿1997년 06월,16.74
﻿1997년 07월,16.73
﻿1997년 08월,16.75
﻿1997년 09월,16.65
﻿1997년 10월,16.48
﻿1997년 11월,16.5
﻿1997년 12월,16.52
﻿1998년 01월,16.68
﻿1998년 02월,16.73
﻿1998년 03월,16.86
﻿1998년 04월,16.89
﻿1998년 05월,16.89
﻿1998년 06월,16.91
﻿1998년 07월,16.8
﻿1998년 08월,16.83
﻿1998년 09월,16.63
﻿1998년 10월,16.36
﻿1998년 11월,16.33
﻿1998년 12월,16.32
﻿1999년 01월,16.35
﻿1999년 02월,16.47
﻿1999년 03월,16.55
﻿1999년 04월,16.52
﻿1999년 05월,16.55
﻿1999년 06월,16.55
﻿1999년 07월,16.54
﻿1999년 08월,16.51
﻿1999년 09월,16.37
﻿1999년 10월,16.16
﻿1999년 11월,16.18
﻿1999년 12월,16.21
﻿2000년 01월,16.36
﻿2000년 02월,16.58
﻿2000년 03월,16.53
﻿2000년 04월,16.57
﻿2000년 05월,16.59
﻿2000년 06월,16.56
﻿2000년 07월,16.5
﻿2000년 08월,16.56
﻿2000년 09월,16.42
﻿2000년 10월,16.27
﻿2000년 11월,16.23
﻿2000년 12월,16.36
﻿2001년 01월,16.43
﻿2001년 02월,16.58
﻿2001년 03월,16.6
﻿2001년 04월,16.62
﻿2001년 05월,16.66
﻿2001년 06월,16.7
﻿2001년 07월,16.69
﻿2001년 08월,16.73
﻿2001년 09월,16.57
﻿2001년 10월,16.45
﻿2001년 11월,16.43
﻿2001년 12월,16.53
﻿2002년 01월,16.58
﻿2002년 02월,16.57
﻿2002년 03월,16.83
﻿2002년 04월,16.73
﻿2002년 05월,16.85
﻿2002년 06월,16.85
﻿2002년 07월,16.66
﻿2002년 08월,16.69
﻿2002년 09월,16.59
﻿2002년 10월,16.45
﻿2002년 11월,16.4
﻿2002년 12월,16.54
﻿2003년 01월,16.61
﻿2003년 02월,16.67
﻿2003년 03월,16.65
﻿2003년 04월,16.68
﻿2003년 05월,16.75
﻿2003년 06월,16.72
﻿2003년 07월,16.71
﻿2003년 08월,16.78
﻿2003년 09월,16.68
﻿2003년 10월,16.5
﻿2003년 11월,16.47
﻿2003년 12월,16.52
﻿2004년 01월,16.6
﻿2004년 02월,16.67
﻿2004년 03월,16.72
﻿2004년 04월,16.8
﻿2004년 05월,16.72
﻿2004년 06월,16.78
﻿2004년 07월,16.61
﻿2004년 08월,16.7
﻿2004년 09월,16.65
﻿2004년 10월,16.46
﻿2004년 11월,16.38
﻿2004년 12월,16.51
﻿2005년 01월,16.74
﻿2005년 02월,16.84
﻿2005년 03월,16.79
﻿2005년 04월,16.77
﻿2005년 05월,16.84
﻿2005년 06월,16.77
﻿2005년 07월,16.77
﻿2005년 08월,16.8
﻿2005년 09월,16.63
﻿2005년 10월,16.49
﻿2005년 11월,16.38
﻿2005년 12월,16.48
﻿2006년 01월,16.67
﻿2006년 02월,16.76
﻿2006년 03월,16.74
﻿2006년 04월,16.77
﻿2006년 05월,16.77
﻿2006년 06월,16.78
﻿2006년 07월,16.71
﻿2006년 08월,16.7
﻿2006년 09월,16.66
﻿2006년 10월,16.52
﻿2006년 11월,16.53
﻿2006년 12월,16.57
﻿2007년 01월,16.67
﻿2007년 02월,16.83
﻿2007년 03월,16.71
﻿2007년 04월,16.77
﻿2007년 05월,16.71
﻿2007년 06월,16.7
﻿2007년 07월,16.66
﻿2007년 08월,16.65
﻿2007년 09월,16.44
﻿2007년 10월,16.34
﻿2007년 11월,16.28
﻿2007년 12월,16.37
﻿2008년 01월,16.42
﻿2008년 02월,16.54
﻿2008년 03월,16.54
﻿2008년 04월,16.59
﻿2008년 05월,16.65
﻿2008년 06월,16.59
﻿2008년 07월,16.64
﻿2008년 08월,16.7
﻿2008년 09월,16.58
﻿2008년 10월,16.4
﻿2008년 11월,16.35
﻿2008년 12월,16.46
﻿2009년 01월,16.64
﻿2009년 02월,16.71
﻿2009년 03월,16.67
﻿2009년 04월,16.68
﻿2009년 05월,16.76
﻿2009년 06월,16.79
﻿2009년 07월,16.81
﻿2009년 08월,16.76
﻿2009년 09월,16.61
﻿2009년 10월,16.59
﻿2009년 11월,16.54
﻿2009년 12월,16.68
﻿2010년 01월,16.78
﻿2010년 02월,16.92
﻿2010년 03월,16.93
﻿2010년 04월,16.95
﻿2010년 05월,16.91
﻿2010년 06월,16.84
﻿2010년 07월,16.72
﻿2010년 08월,16.71
﻿2010년 09월,16.69
﻿2010년 10월,16.47
﻿2010년 11월,16.32
﻿2010년 12월,16.38
﻿2011년 01월,16.58
﻿2011년 02월,16.7
﻿2011년 03월,16.77
﻿2011년 04월,16.73
﻿2011년 05월,16.78
﻿2011년 06월,16.78
﻿2011년 07월,16.71
﻿2011년 08월,16.71
﻿2011년 09월,16.61
﻿2011년 10월,16.38
﻿2011년 11월,16.3
﻿2011년 12월,16.39
﻿2012년 01월,16.54
﻿2012년 02월,16.69
﻿2012년 03월,16.68
﻿2012년 04월,16.68
﻿2012년 05월,16.8
﻿2012년 06월,16.79
﻿2012년 07월,16.75
﻿2012년 08월,16.77
﻿2012년 09월,16.67
﻿2012년 10월,16.61
﻿2012년 11월,16.57
﻿2012년 12월,16.63
﻿2013년 01월,16.74
﻿2013년 02월,16.75
﻿2013년 03월,16.81
﻿2013년 04월,16.78
﻿2013년 05월,16.75
﻿2013년 06월,16.78
﻿2013년 07월,16.7
﻿2013년 08월,16.71
﻿2013년 09월,16.66
﻿2013년 10월,16.44
﻿2013년 11월,16.4
﻿2013년 12월,16.62
﻿2014년 01월,16.71
﻿2014년 02월,16.86
﻿2014년 03월,16.84
﻿2014년 04월,16.8
﻿2014년 05월,16.84
﻿2014년 06월,16.83
﻿2014년 07월,16.83
﻿2014년 08월,16.8
﻿2014년 09월,16.73
﻿2014년 10월,16.59
﻿2014년 11월,16.54
﻿2014년 12월,16.62
﻿2015년 01월,16.75
﻿2015년 02월,16.82
﻿2015년 03월,16.86
﻿2015년 04월,16.84
﻿2015년 05월,16.89
﻿2015년 06월,16.93
﻿2015년 07월,16.91
﻿2015년 08월,16.97
﻿2015년 09월,16.86
﻿2015년 10월,16.78
﻿2015년 11월,16.71
﻿2015년 12월,16.83
﻿2016년 01월,17.09
﻿2016년 02월,17.16
﻿2016년 03월,17.12
﻿2016년 04월,17.1
﻿2016년 05월,17.08
﻿2016년 06월,17.03
﻿2016년 07월,17.08
﻿2016년 08월,16.98
﻿2016년 09월,16.94
﻿2016년 10월,16.83
﻿2016년 11월,16.79
﻿2016년 12월,16.77
﻿2017년 01월,16.9
﻿2017년 02월,17.08
﻿2017년 03월,17.1
﻿2017년 04월,17.08
﻿2017년 05월,17.07
﻿2017년 06월,17.02
﻿2017년 07월,16.96
﻿2017년 08월,16.99
﻿2017년 09월,16.88
﻿2017년 10월,16.75
﻿2017년 11월,16.64
﻿2017년 12월,16.72
﻿2018년 01월,16.84
﻿2018년 02월,17.0
﻿2018년 03월,16.97
﻿2018년 04월,17.02
﻿2018년 05월,16.99
﻿2018년 06월,16.95
﻿2018년 07월,16.89
﻿2018년 08월,16.88
﻿2018년 09월,16.83
﻿2018년 10월,16.74
﻿2018년 11월,16.74
﻿2018년 12월,16.76
﻿2019년 01월,16.8
﻿2019년 02월,17.03
﻿2019년 03월,17.08
﻿2019년 04월,17.14
﻿2019년 05월,17.14
﻿2019년 06월,17.14
﻿2019년 07월,17.05
﻿2019년 08월,17.05
﻿2019년 09월,16.91
﻿2019년 10월,16.79
﻿2019년 11월,16.78
﻿2019년 12월,16.85
﻿2020년 01월,16.96
﻿2020년 02월,17.08
﻿2020년 03월,17.1
﻿2020년 04월,17.17
﻿2020년 05월,17.19
﻿2020년 06월,17.06
﻿2020년 07월,16.96
﻿2020년 08월,16.95
﻿2020년 09월,16.91
﻿2020년 10월,16.78
﻿2020년 11월,16.73
﻿2020년 12월,16.68
﻿2021년 01월,16.81
﻿2021년 02월,16.91
﻿2021년 03월,16.85
﻿2021년 04월,16.94
﻿2021년 05월,17.0
﻿2021년 06월,16.9
﻿2021년 07월,16.92
﻿2021년 08월,16.94
﻿2021년 09월,16.95
﻿2021년 10월,16.72
﻿2021년 11월,16.66
﻿2021년 12월,16.69
﻿2022년 01월,16.83
﻿2022년 02월,16.96
﻿2022년 03월,17.06
﻿2022년 04월,16.96
﻿2022년 05월,16.97
﻿2022년 06월,16.95
﻿2022년 07월,17.0
﻿2022년 08월,16.96
﻿2022년 09월,16.91
﻿2022년 10월,16.73
﻿2022년 11월,16.65
﻿2022년 12월,16.78
﻿2023년 01월,16.84
﻿2023년 02월,16.96
﻿2023년 03월,17.05
﻿2023년 04월,17.1
﻿2023년 05월,17.21
﻿2023년 06월,17.27
﻿2023년 07월,17.36
﻿2023년 08월,17.33
﻿2023년 09월,17.3
﻿2023년 10월,17.11
﻿2023년 11월,17.03
﻿2023년 12월,17.17
﻿2024년 01월,17.25
﻿2024년 02월,17.43
﻿2024년 03월,17.29
﻿2024년 04월,17.3
