Year,sealevel,co2, Population,Thickness,북극 해빙면적 평균,해상 평균 온도,평균 바다 표면 온도,평균 해상 강수량
1990,-22.84739583,22849.92,5.28,2.0358976638504864,9.668333333333331,16.578333333333333,18.078333333333333,93.64166666666667
1991,-22.8140625,23056.4,5.37,2.0257630504352275,9.7425,16.541666666666668,18.073333333333334,93.21666666666665
1992,-20.24739583,22988.29,5.45,2.0242294546851,10.099166666666669,16.38,18.01,93.22500000000001
1993,-22.78072917,23124.0,5.54,1.9343196876600104,9.81,16.4025,18.022499999999997,92.50833333333333
1994,-17.98072917,23260.29,5.62,1.9748267025089603,9.989166666666668,16.38,18.03,92.84166666666665
1996,-11.94739583,24214.92,5.79,1.8969180747567844,9.799166666666666,16.461666666666666,18.033333333333335,93.675
1997,-2.647395833,25292.92,5.87,1.9352927611367128,9.616666666666667,16.588333333333335,18.17833333333333,96.03333333333335
1998,-10.8140625,24895.32,5.95,1.8308676971326163,9.626666666666669,16.68583333333333,18.230833333333333,96.66666666666667
1999,-0.247395833,24957.3,6.03,1.770937928827445,9.693333333333332,16.413333333333334,18.031666666666666,93.85000000000001
2000,2.952604167,25637.87,6.11,1.750909370199693,9.4575,16.460833333333333,18.065833333333334,96.41666666666667
2001,4.719270833,25726.42,6.19,1.795824039938556,9.569166666666666,16.5825,18.199166666666667,97.47500000000001
2002,2.152604167,26486.63,6.27,1.7520906746031748,9.356666666666667,16.645,18.231666666666666,98.93333333333334
2003,14.61927083,27308.37,6.35,1.714331982846902,9.289166666666668,16.645,18.286666666666665,98.84166666666665
2004,13.65260417,28826.48,6.43,1.6889268753200204,9.3675,16.633333333333333,18.24416666666667,98.76666666666667
2005,12.11927083,29663.75,6.51,1.6721724462365593,9.020833333333334,16.691666666666666,18.3225,98.3
2006,9.519270833,30905.93,6.59,1.6205702828981057,8.8025,16.68166666666667,18.29,98.0
2007,22.7859375,31608.28,6.67,1.5508038402457756,8.459999999999999,16.594166666666666,18.245,98.56666666666666
2008,30.45260417,31856.76,6.76,1.5437775089605736,9.235,16.538333333333334,18.224166666666665,97.38333333333333
2009,33.65260417,31769.89,6.84,1.5211691948284691,9.236666666666666,16.686666666666667,18.329166666666666,98.63333333333333
2010,33.87824005,33328.38,6.92,1.3780123399897592,8.979999999999999,16.718333333333334,18.337500000000002,98.25833333333333
2011,36.71847075,33226.01,7.0,1.3364793906810035,8.775833333333333,16.62,18.225833333333334,97.58333333333333
2012,47.17390325,33620.34,7.09,1.3355615783410135,8.661666666666667,16.68166666666667,18.284166666666668,97.99166666666667
2013,41.33798668,34217.18,7.18,1.3648768241167435,9.238333333333332,16.67833333333333,18.3125,97.74166666666667
2014,53.85737212,34558.59,7.26,1.503154723502304,9.105,16.749166666666667,18.420833333333334,98.7
2015,50.46170567,34521.91,7.35,1.5107794290834613,8.920833333333333,16.845833333333335,18.526666666666667,100.175
2016,54.34696367,35160.6,7.43,1.3833477086533537,8.325000000000001,16.9975,18.558333333333334,99.825
2017,57.35599133,35588.7,7.52,1.293282859703021,8.706666666666667,16.9325,18.50583333333333,98.46666666666665
2018,53.08512198,36441.55,7.6,1.3803040194572451,8.755,16.884166666666665,18.455833333333334,98.74166666666667
