Year,평균 온도
1982,17.974166666666665
1983,18.055833333333336
1984,17.964166666666667
1985,17.86916666666667
1986,17.929166666666667
1987,18.07166666666667
1988,18.034166666666668
1989,17.97
1990,18.078333333333333
1991,18.073333333333334
1992,18.01
1993,18.022499999999997
1994,18.03
1995,18.098333333333333
1996,18.033333333333335
1997,18.17833333333333
1998,18.230833333333333
1999,18.031666666666666
2000,18.065833333333334
2001,18.199166666666667
2002,18.231666666666666
2003,18.286666666666665
2004,18.24416666666667
2005,18.3225
2006,18.29
2007,18.245
2008,18.224166666666665
2009,18.329166666666666
2010,18.337500000000002
2011,18.225833333333334
2012,18.284166666666668
2013,18.3125
2014,18.420833333333334
2015,18.526666666666667
2016,18.558333333333334
2017,18.50583333333333
2018,18.455833333333334
2019,18.5425
2020,18.565833333333334
2021,18.504166666666666
2022,18.5275
2023,18.704166666666666
2024,18.869999999999997
